Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 166, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.862
Training Epoch 167, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.838
Training Epoch 168, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.853
Training Epoch 169, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.759
Training Epoch 170, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.735
Training Epoch 171, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.849
Training Epoch 172, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.825
Training Epoch 173, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.841
Training Epoch 174, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.746
Training Epoch 175, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.721
Training Epoch 176, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.837
Training Epoch 177, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.812
Training Epoch 178, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.830
Training Epoch 179, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.733
Training Epoch 180, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.708
Training Epoch 181, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.826
Training Epoch 182, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.800
Training Epoch 183, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.819
Training Epoch 184, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.720
Training Epoch 185, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.695
Training Epoch 186, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.814
Training Epoch 187, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.787
Training Epoch 188, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.808
Training Epoch 189, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.708
Training Epoch 190, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.682
Training Epoch 191, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.802
Training Epoch 192, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.775
Training Epoch 193, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.797
Training Epoch 194, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.695
Training Epoch 195, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.669
Training Epoch 196, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.791
Training Epoch 197, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.764
Training Epoch 198, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.786
Training Epoch 199, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.684
Training Epoch 200, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.657
Training Epoch 201, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.780
Training Epoch 202, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.752
Training Epoch 203, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.776
Training Epoch 204, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.672
Training Epoch 205, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.645
Training Epoch 206, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.770
Training Epoch 207, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.742
Training Epoch 208, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.765
Training Epoch 209, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.660
Training Epoch 210, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.634
Training Epoch 211, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.759
Training Epoch 212, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.732
Training Epoch 213, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.756
Training Epoch 214, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.650
Training Epoch 215, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.623
Training Epoch 216, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.750
Training Epoch 217, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.721
Training Epoch 218, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.747
Training Epoch 219, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.640
Training Epoch 220, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.613
Training Epoch 221, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.741
Training Epoch 222, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.712
Training Epoch 223, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.738
Training Epoch 224, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.630
Training Epoch 225, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.603
Training Epoch 226, Training Accuracy:  81.2%, Validation Accuracy:  62.5%,  Validation Loss: 0.732
Training Epoch 227, Training Accuracy:  81.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.703
Training Epoch 228, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.730
Training Epoch 229, Training Accuracy:  81.2%, Validation Accuracy:  81.2%,  Validation Loss: 0.621
Training Epoch 230, Training Accuracy:  81.2%, Validation Accuracy:  68.8%,  Validation Loss: 0.594
